,symbol,name,industry,macro,RS,RSM
74,ALLSEC,ALLSEC TECHNOLOGIES LTD,BPO / ITeS,Information Technology,1.3694045580820964,19.867544992064158
75,ALMONDZ,ALMONDZ GLOBAL SECURITIES LTD,Financial Services,Finance,0.8720308286906686,-34.64701732531168
76,ALOKINDS,ALOK INDUSTRIES LTD,FABRICS & GARMENTS,CDGS ,0.7293927978375486,-24.862136312744752
77,ALPA,ALPA LABORATORIES LTD,Biotechnology,Healthcare,0.11735730057810517,-61.84030190142629
78,ALPHAGEO,ALPHAGEO (INDIA) LTD,Oil Equipment & Services,Energy,1.1816760979763483,-12.31682240267402
79,ALPSINDUS,ALPS INDUSTRIES LTD,Textiles,Industrials,-0.9334831706822382,-17.140392227235512
81,AMBER,AMBER ENTERPRISES INDIA LTD,Consumer Electronics,CDGS ,0.9242740205100827,-19.474296045198336
82,AMBICAAGAR,AMBICA AGARBATHIES & AROMA INDUSTRIES LTD,Trading Companies & Distributors,SERVICES,0.5038838862429696,-9623.128189725307
83,AMBIKCO,AMBIKA COTTON MILLS LTD,Textiles,Industrials,0.7235749073761097,-34.31143789685941
84,AMBUJACEM,AMBUJA CEMENTS LTD,Cement & Cement Products,Basic Materials,0.8697047234880967,-20.74855265260257
85,AMDIND,AMD INDUSTRIES LTD,Containers & Packaging,Industrials,1.0112589079211636,-43.588002317381715
86,AMIORG,AMI ORGANICS LTD,Pharmaceuticals,Healthcare,0.846951043705854,-0.20140976545124367
87,AMJLAND,AMJ LAND HOLDINGS LTD,Realty,CAPITAL GOODS,0.23916757120103527,-15.228984324589778
88,AMRUTANJAN,AMRUTANJAN HEALTH CARE LTD,Pharmaceuticals,Healthcare,1.0513164461207394,24.99444664762054
89,ANANDRATHI,ANAND RATHI WEALTH LTD,Financial Services,Finance,0.0034850294093891803,-102.543066739762
90,ANANTRAJ,ANANT RAJ LTD,Realty,CAPITAL GOODS,1.33925017889059,34.61786801074018
91,ANDHRACEMT,ANDHRA CEMENTS LTD,Cement & Cement Products,Basic Materials,1.0645115260451585,-13.752186960828405
92,ANDHRAPAP,ANDHRA PAPER LTD,Paper & Paper Products,Basic Materials,1.2873431407537768,-16.83626534905055
93,ANDHRSUGAR,THE ANDHRA SUGARS LTD,Commodity Chemicals,Basic Materials,1.03481663805835,-32.796411175492565
95,ANGELONE,ANGEL ONE LTD,Financial Services,Finance,0.5721546324986978,84.25001274688285
96,ANIKINDS,ANIK INDUSTRIES LTD,Trading Companies & Distributors,SERVICES,1.2920537862820045,-3.113971682521599
97,ANKITMETAL,ANKIT METAL & POWER LTD,Iron & Steel and Intermediary Products,Basic Materials,0.9260443684975602,33.77181616521416
98,ANMOL,ANMOL INDIA LTD,Distributors,CDGS ,0.07040713495352283,31.865425538444626
99,ANSALAPI,ANSAL PROPERTIES & INFRASTRUCTURE LTD,Realty,CAPITAL GOODS,0.7314873682882505,160.91852617382253
101,ANTGRAPHIC,ANTARCTICA LTD,PACKAGING,Basic Materials,1.0365743664676677,252.4697437205536
102,ANUP,THE ANUP ENGINEERING LTD,Industrial Machinery,CAPITAL GOODS,1.984274299596146,831.1022996837971
103,ANURAS,ANUPAM RASAYAN INDIA LTD,Specialty Chemicals,Basic Materials,0.9548676072280753,-10.593740813387964
104,APARINDS,APAR INDUSTRIES LTD,Other Electrical Equipment/ Products,Industrials,1.2116102310052645,11.754531303908976
105,APCL,ANJANI PORTLAND CEMENT LTD,Cement & Cement Products,Basic Materials,1.2249123893053455,3.1999827081414134
106,APCOTEXIND,APCOTEX INDUSTRIES LTD, Industrial Goods,Industrials,0.7680350439530657,-20.066605558821994
107,APEX,APEX FROZEN FOODS LTD,Packaged Foods,FMCG ,0.6844707819033714,6.6875765678127586
108,APLAPOLLO,APL APOLLO TUBES LTD,IRON & STEEL PRODUCTS,Basic Materials,-0.10094478774840727,-71.81165611161306
109,APLLTD,ALEMBIC PHARMACEUTICALS LTD,Pharmaceuticals,Healthcare,-1.0201498311184574,43.22870802401253
110,APOLLO,APOLLO MICRO SYSTEMS LTD,Defence,CAPITAL GOODS,0.39808877890158556,-151.6421106882739
111,APOLLOHOSP,APOLLO HOSPITALS ENTERPRISE LTD,Healthcare  - Facilities,Healthcare,1.212581429925361,-0.5431975678786727
112,APOLLOPIPE,APOLLO PIPES LTD,PLASTIC PRODUCTS,Industrials,-0.17042519336921452,-144.59823522740948
113,APOLLOTYRE,APOLLO TYRES LTD,Tyres & Rubber Products,CAPITAL GOODS,0.5709415018986889,15427.81491473523
114,APOLSINHOT,APOLLO SINDOORI HOTELS LTD,Hotels,SERVICES,-0.58385334025547,-2.8794136997131625
115,APTECHT,APTECH LTD,IT Training Services,Information Technology,0.49417098266708664,-36.25251772993443
116,APTUS,APTUS VALUE HOUSING FINANCE INDIA LTD,Housing Finance Companies,Finance,1.1421161104025328,-27.948025927189292
117,ARCHIDPLY,ARCHIDPLY INDUSTRIES LTD,Forest Products - PLY & BOARDS,Basic Materials,0.009578154100719962,-96.8826566415369
118,ARCHIES,ARCHIES LTD,"Gift Articles,Toys & Greeting Cards",CDGS ,0.008881057385370353,-88.36508083230694
120,ARENTERP,RAJDARSHAN INDUSTRIES LTD,Construction & Engineering,CAPITAL GOODS,0.34321744788330383,143.15350957755393
121,ARIES,ARIES AGRO LTD,FERTILIZERS,Basic Materials,1.4872932130743008,188.92035515069207
122,ARIHANT,ARIHANT FOUNDATIONS & HOUSING LTD,Realty,CAPITAL GOODS,-0.7252690458091876,-39.14241301226651
123,ARIHANTCAP,ARIHANT CAPITAL MARKETS LTD,STOCKBROKING AND ALLIED,Finance,1.3570555040921313,125.73503393547041
124,ARIHANTSUP,ARIHANT SUPERSTRUCTURES LTD,RESIDENTIAL/COMMERCIAL/SEZ Project,CAPITAL GOODS,0.645053525869794,31.71956469802335
125,ARMANFIN,ARMAN FINANCIAL SERVICES LTD,Fin COS (including NBFCs),Finance,0.9105636508507735,-29.20120776196784
126,AROGRANITE,ARO GRANITE INDUSTRIES LTD,GRANITES / MARBLES,Basic Materials,1.6712309247227917,82.04685773690767
127,ARROWGREEN,ARROW GREENTECH LTD,PLASTIC PRODUCTS,Industrials,0.02955160569120519,-93.12420006815259
128,ARSHIYA,ARSHIYA LTD,LOGISTICS SOLUTION PROVIDER,SERVICES,-0.4260075166192256,-323.48789127808993
129,ARSSINFRA,ARSS INFRASTRUCTURE PROJECTS LTD,Construction & Engineering,CAPITAL GOODS,-0.9624685766641861,106.37516590520858
130,ARTEMISMED,ARTEMIS MEDICARE SERVICES LTD,Healthcare  - Services,Healthcare,0.1894802559105702,-61.647644485941285
131,ARTNIRMAN,ART NIRMAN LTD,CONSTRUCTION CIVIL,CAPITAL GOODS,0.5794981943637493,-40.20925613344605
132,ARVEE,ARVEE LABORATORIES (INDIA) LTD,Specialty Chemicals,Basic Materials,0.13539892525813138,-86.43494946395633
133,ARVIND,ARVIND LTD,Textiles,Industrials,0.4505804577131789,-45.421366237159454
134,ARVINDFASN,ARVIND FASHIONS LTD,Other Apparels & Accessories,CDGS ,0.6290927891915108,2.58959343527152
135,ARVSMART,ARVIND SMARTSPACES LTD,Realty,CAPITAL GOODS,0.5014130419488689,6.134415258040837
136,ASAHIINDIA,ASAHI INDIA GLASS LTD,GLASS,CAPITAL GOODS,2.1486377911949144,216.4059759177278
137,ASAHISONG,ASAHI SONGWON COLORS LTD,DYES & PIGMENTS,Basic Materials,0.6178558245158575,-34.74942952448057
138,ASAL,AUTOMOTIVE STAMPINGS AND ASSEMBLIES LTD,Auto Parts & Equipment,CDGS ,1.4068495106077643,41.27368803265823
139,ASALCBR,ASSOCIATED ALCOHOLS & BREWERIES LTD.,Breweries & Distilleries,FMCG ,0.8575035449846227,-33.47021132317136
140,ASHAPURMIN,ASHAPURA MINECHEM LTD,Mining,Basic Materials,0.814895479288727,-49.231793902906695
141,ASHIANA,ASHIANA HOUSING LTD,Realty,CAPITAL GOODS,0.8916428642034877,-47.51780779744242
142,ASHIMASYN,ASHIMA LTD,Textiles,Industrials,0.943611908377454,14.24504518571641
143,ASHOKA,ASHOKA BUILDCON LTD,Roads & Highways,Industrials,1.0720418945038326,-2.251765304305531
144,ASHOKLEY,ASHOK LEYLAND LTD,"Construction, Agricultural & Commercial Vehicles",CAPITAL GOODS,0.7851317680594923,-20.315190577635978
145,ASIANENE,ASIAN ENERGY SERVICES LTD,Oil Equipment & Services,Energy,0.24252670202219756,845.341954453003
146,ASIANHOTNR,ASIAN HOTELS (NORTH) LTD,Hotels,SERVICES,0.18794221873558356,-66.45792309317031
147,ASIANPAINT,ASIAN PAINTS LTD,PAINTS,Industrials,0.4661155380853335,-24.222768792311943
148,ASIANTILES,ASIAN GRANITO INDIA LTD,CERAMICS / GRANITES ,CDGS ,1.56437714070204,15.966126083064802
149,ASPINWALL,ASPINWALL AND COMPANY LTD,LOGISTICS SOLUTION PROVIDER,SERVICES,0.17873742105456208,-15.228984324589767
150,ASTEC,ASTEC LIFESCIENCES LTD,Agrochemicals,Basic Materials,1.580275588772719,45.049881976019115
151,ASTERDM,ASTER DM HEALTHCARE LTD,Healthcare  - Services,Healthcare,-0.3112828566406605,389.7925619679174
152,ASTRAL,ASTRAL LTD,PLASTIC PRODUCTS,Industrials,1.0394320090916687,-26.639176081516602
153,ASTRAMICRO,ASTRA MICROWAVE PRODUCTS LTD,Defence,CAPITAL GOODS,1.5130984424243377,22.68153017495176
154,ASTRAZEN,ASTRAZENECA PHARMA INDIA LTD,Pharmaceuticals,Healthcare,0.6444214542377974,-19.20128311817777
155,ASTRON,ASTRON PAPER & BOARD MILL LTD,Paper & Paper Products,Basic Materials,-0.2830435708707636,-576.0209387926473
156,ATFL,AGRO TECH FOODS LTD,Other Agricultural Products,FMCG ,-0.9082083066811392,-520.8606229578259
157,ATGL,ADANI TOTAL GAS LTD,Oil Marketing & Distribution,Energy,-0.35315043628752213,15.237359591541843
160,ATUL,ATUL LTD,Specialty Chemicals,Basic Materials,1.0715515271161224,-12.308652874398774
161,ATULAUTO,ATUL AUTO LTD,2/3 Wheelers,CDGS ,0.5648072999086943,-41.59633896841448
162,AUBANK,AU SMALL FINANCE BANK LTD,BANKS - PVT,Finance,0.553410872242565,12.992755764478957
163,AURIONPRO,AURIONPRO SOLUTIONS LTD,Software Products,Information Technology,1.5102220946900866,10.973907509104519
164,AUROPHARMA,AUROBINDO PHARMA LTD,Pharmaceuticals,Healthcare,0.25169953062326467,-69.2789521251328
165,AURUM,AURUM PROPTECH LTD,IT Consulting & Application Software,Information Technology,0.28264611403011064,-226.30316014962202
166,AUSOMENT,AUSOM ENTERPRISE LTD,Trading Companies & Distributors,SERVICES,-0.009779102460692527,-96.1831177118452
167,AUTOAXLES,AUTOMOTIVE AXLES LTD,Auto Parts & Equipment,CDGS ,1.5289774413100465,140.33085964471778
168,AUTOIND,AUTOLINE INDUSTRIES LTD,Auto Parts & Equipment,CDGS ,-0.18657298862071056,26.19335724242935
170,AVADHSUGAR,AVADH SUGAR & ENERGY LTD,Sugar,FMCG ,1.2844219350540806,-16.47790089687615
171,AVANTIFEED,AVANTI FEEDS LTD,ANIMAL FEED,Industrials,1.0848063761915618,81.74133738842204
172,AVTNPL,AVT NATURAL PRODUCTS LTD,Other Agricultural Products,FMCG ,0.2969043915751912,21.536091768372035
173,AWHCL,ANTONY WASTE HANDLING CELL LTD,WASTE MANAGEMENT	,SERVICES,0.5202925900014772,70.36850427371772
174,AXISBANK,AXIS BANK LTD,BANKS - PVT,Finance,0.4219108356150744,99.50697772244574
175,AXISBNKETF,AXIS MUTUAL FUND - AXIS BANKING ETF,MF / ETF,Finance,0.9233973553422032,28.9640592413005
176,AXISBPSETF,AXIS MUTUAL FUND - AXIS AAA BOND PLUS SDL ETF - 2026 MATURITY,MF / ETF,Finance,1.2456150508431425,95.33999540176859
177,AXISCADES,AXISCADES TECHNOLOGIES LTD,BPO / ITeS,Information Technology,2.0919533028690505,272.854978586473
178,AXISCETF,AXIS MUTUAL FUND - AXIS CONSUMPTION ETF,MF / ETF,Finance,0.9945303517739597,-6.203425287901543
179,AXISGOLD,AXIS MUTUAL FUND - AXIS GOLD ETF,MF / ETF - GOLD ETF,Finance,-0.5898368572266567,1.2631264015772636
180,AXISHCETF,AXIS MUTUAL FUND  - AXIS HEALTHCARE ETF,MF / ETF,Finance,1.0722747797994712,-14.79372144096407
