Date,Open,High,Low,Close,Adj Close,Volume
2023-10-18,111000.0,111099.953125,109401.046875,109672.796875,109667.59375,5862
2023-10-19,109400.5,110149.953125,108701.0,109575.046875,109569.859375,5030
2023-10-20,109170.1015625,110046.3984375,108900.046875,109504.6015625,109499.4140625,3657
2023-10-23,109350.0,110400.0,108639.1484375,108977.3515625,108972.1875,9731
2023-10-25,109299.953125,109948.8515625,108150.0,108632.453125,108627.3046875,4580
2023-10-26,108700.0,108700.0,107075.953125,107481.296875,107476.203125,5675
2023-10-27,108279.0,108876.0,107629.3515625,108190.796875,108185.671875,3807
2023-10-30,108190.796875,109449.6015625,107919.453125,109015.703125,109010.5390625,4654
2023-10-31,109499.953125,109499.953125,107907.1015625,108297.796875,108292.6640625,8331
2023-11-01,108500.0,109275.0,108349.796875,108583.796875,108578.6484375,3163
2023-11-02,109500.203125,110800.0,108925.0,110500.046875,110494.8125,5623
2023-11-03,110749.796875,111800.0,107300.0,107723.25,107718.140625,25427
2023-11-06,108895.0,108895.0,107103.203125,107391.8515625,107386.7578125,7716
2023-11-07,108000.0,108000.0,107008.046875,107185.3984375,107180.3203125,4702
2023-11-08,107830.0,108700.0,107330.1015625,108348.1015625,108342.96875,5787
2023-11-09,108325.5,109108.953125,107774.3984375,108078.203125,108073.078125,5103
2023-11-10,108299.0,108479.8984375,107338.1015625,108295.703125,108290.5703125,3311
2023-11-13,108500.0,108500.0,107033.046875,107637.6015625,107632.5078125,6671
2023-11-15,108299.0,109510.453125,107812.6015625,109379.5,109374.3125,6906
2023-11-16,109020.0,110500.0,109000.0,110298.8515625,110293.625,5724
2023-11-17,110000.0,112599.8984375,109800.3515625,111475.25,111473.0,11891
2023-11-20,111339.0,111600.0,110649.953125,111390.953125,111388.703125,4443
2023-11-21,111400.0,111749.953125,110882.703125,111434.296875,111432.046875,2888
2023-11-22,111002.1015625,111785.953125,110617.546875,111197.75,111195.5,3222
2023-11-23,111200.0,111999.953125,111118.0,111378.703125,111376.453125,1854
2023-11-24,111000.0,111550.0,110768.1484375,111448.203125,111445.953125,2854
2023-11-28,111400.0,111800.0,111200.0,111546.953125,111544.6953125,3104
2023-11-29,111600.046875,112496.25,111600.046875,112266.546875,112264.28125,5354
2023-11-30,112200.0,112989.953125,111443.203125,111683.0,111680.7421875,13163
2023-12-01,111651.0,112100.0,111110.5,111409.296875,111407.046875,3677
2023-12-04,112000.0,112099.8515625,110856.203125,111506.6484375,111504.3984375,4689
2023-12-05,111690.0,114459.0,110985.046875,113729.8515625,113727.5546875,7340
2023-12-06,113720.0,114499.953125,113450.75,114088.8515625,114086.546875,3569
2023-12-07,114090.0,119000.0,113844.1015625,117408.546875,117406.171875,11242
2023-12-08,117450.0,118099.796875,117021.25,117949.3984375,117947.015625,7684
2023-12-11,117950.0,119600.0,117616.1015625,119050.453125,119048.046875,9161
2023-12-12,119050.453125,120351.0,118900.0,119502.8984375,119500.484375,8705
2023-12-13,119500.0,120067.953125,119146.0,119785.25,119782.828125,3862
2023-12-14,119950.0,121000.0,119550.046875,120558.796875,120556.359375,4276
2023-12-15,120559.796875,121193.3515625,119851.3984375,120084.046875,120081.6171875,4857
2023-12-18,120086.0,120277.0,119312.3515625,119418.6484375,119416.234375,3968
2023-12-19,119312.75,120000.0,118567.453125,118784.6015625,118782.203125,4139
2023-12-20,119500.0,119598.046875,117000.0,117318.953125,117316.5859375,4608
2023-12-21,117000.953125,117727.953125,115500.046875,117575.203125,117572.828125,4166
2023-12-22,119660.0,120699.953125,117900.046875,119544.296875,119541.8828125,12705
2023-12-26,120280.0,120499.0,119701.0,120269.3515625,120266.921875,2962
2023-12-27,120269.3515625,121343.8984375,120000.0,121038.546875,121036.1015625,4444
2023-12-28,121233.0,126630.6015625,121000.0,125861.3515625,125858.8046875,13240
2023-12-29,126100.0,130399.3515625,125084.6484375,129579.25,129576.6328125,17516
2024-01-01,129570.0,130734.3515625,129000.0,129423.546875,129420.9296875,9043
2024-01-02,129450.0,130269.6015625,127257.1015625,129992.296875,129989.671875,8846
2024-01-03,129740.0,130955.0,129000.0,130595.8515625,130593.2109375,7203
2024-01-04,130500.0,131950.0,130149.0,131509.75,131507.09375,6833
2024-01-05,131600.0,133500.046875,131600.0,132701.25,132698.5625,8182
2024-01-08,133401.0,133599.953125,131200.0,131920.59375,131917.921875,7613
